GEO_UID,CMA_code,CMA_name,Census_Tract_name,Occupied_private_dwellings_by_structural_type_of_dwelling,Single_detached_house,Apartment_in_a_building_that_has_five_or_more_storeys,Semi_detached_house,Row_house,Apartment_or_flat_in_a_duplex,Apartment_in_a_building_that_has_fewer_than_five_storeys,Movable_dwelling,Private_households_by_household_size,F1_person,F2_person,F3_person,F4_person,F5_person_or_more,Number_of_persons_in_private_households
5350810.03,535,Toronto,810.03,1205,935,0,0,205,60,5,0,1210,230,480,205,210,85,3090
5350810.04,535,Toronto,810.04,2115,1205,245,15,480,55,110,0,2115,455,720,430,350,160,5440
5350810.05,535,Toronto,810.05,1375,860,0,145,45,40,290,0,1370,285,465,265,240,115,3600
5350811.0,535,Toronto,811.0,1610,525,470,0,305,55,250,0,1605,555,515,270,175,90,3600
5350812.0,535,Toronto,812.0,2130,1640,0,65,200,170,60,0,2130,380,610,460,400,280,6155
5350820.03,535,Toronto,820.03,1115,950,0,35,40,85,5,0,1115,80,250,265,270,255,3890
5350820.04,535,Toronto,820.04,755,495,0,10,210,35,0,5,750,60,125,150,210,200,2760
5350820.05,535,Toronto,820.05,625,505,0,15,85,20,0,0,620,35,135,115,185,145,2230
5350820.06,535,Toronto,820.06,815,455,200,0,90,45,20,0,815,240,290,115,110,65,1930
5350820.07,535,Toronto,820.07,1260,910,0,45,105,55,145,0,1265,155,305,270,330,200,4000
5350830.0,535,Toronto,830.0,1590,1545,0,15,0,10,10,0,1590,200,600,290,275,215,4595
5350831.01,535,Toronto,831.01,2030,1640,0,10,60,40,270,0,2030,365,610,370,445,235,5740
5350831.02,535,Toronto,831.02,2625,1730,85,85,310,80,330,0,2625,665,925,385,440,215,6600
5350832.0,535,Toronto,832.0,1420,1405,0,5,0,0,5,0,1420,185,530,260,280,155,4035
